Metrics,Model_128_basic
Accuracy,0.9691041338344041
F1,0.8043958340093476
Jaccard,0.6759091931571811
Recall,0.7510036650186913
Precision,0.8774564074990725
Sensitivity,0.7510036650186913
Specificity,0.9897622405218268
